
Overlap Results

Collection(s):	C1, C2, C3, C4, C5, C6, C7, C8, H
# overlaps shown:	20
# genesets in collections:	33591
# genes in comparison (n):	50
# genes in universe (N):	42499

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	703	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	30	0.0427	6.73E-41	2.26E-36
MANNO_MIDBRAIN_NEUROTYPES_HGABA	1106	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	31	0.0280	9.45E-37	1.59E-32
MANNO_MIDBRAIN_NEUROTYPES_HDA1	584	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	24	0.0411	1.12E-31	1.25E-27
MANNO_MIDBRAIN_NEUROTYPES_HNBML5	465	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	22	0.0473	2.95E-30	2.47E-26
MANNO_MIDBRAIN_NEUROTYPES_HDA2	513	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	22	0.0429	2.6E-29	1.75E-25
MANNO_MIDBRAIN_NEUROTYPES_HDA	506	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	21	0.0415	1.26E-27	7.06E-24
GOBP_GENERATION_OF_NEURONS	1443	The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons. [GOC:nln]	26	0.0180	2.83E-25	1.36E-21
GOCC_NEURON_PROJECTION	1343	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite. [GOC:jl, http://www.cogsci.princeton.edu/~wn/]	25	0.0186	1.48E-24	6.22E-21
ZHONG_PFC_C3_MICROGLIA	488		19	0.0389	2.14E-24	7.97E-21
GOBP_NEUROGENESIS	1667	Generation of cells within the nervous system. [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]	26	0.0156	1.1E-23	3.69E-20
ZHONG_PFC_C3_ASTROCYTE	389		17	0.0437	1.17E-22	3.57E-19
BLALOCK_ALZHEIMERS_DISEASE_DN	1248	Genes down-regulated in brain from patients with Alzheimer's disease.	23	0.0184	2.4E-22	6.7E-19
GOCC_SYNAPSE	1460	The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane. [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]	24	0.0164	3.13E-22	8.1E-19
GOBP_NEURON_DEVELOPMENT	1108	The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. [GOC:dph]	22	0.0199	5.18E-22	1.24E-18
MANNO_MIDBRAIN_NEUROTYPES_HRN	335	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	16	0.0478	5.99E-22	1.34E-18
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	1075	The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord. [GOC:bf, GOC:jid, ISBN:0582227089]	21	0.0195	8.07E-21	1.69E-17
MANNO_MIDBRAIN_NEUROTYPES_HNBML1	328	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	15	0.0457	2.63E-20	5.19E-17
GOBP_CELL_PROJECTION_ORGANIZATION	1576	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon. [GOC:jl, GOC:mah, http://www.cogsci.princeton.edu/~wn/]	23	0.0146	4.36E-20	8.13E-17
GOBP_HEAD_DEVELOPMENT	832	The biological process whose specific outcome is the progression of a head from an initial condition to its mature state. The head is the anterior-most division of the body. [GOC:dph]	19	0.0228	4.91E-20	8.68E-17
MANNO_MIDBRAIN_NEUROTYPES_HSERT	450	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	16	0.0356	6.78E-20	1.14E-16


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION	ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS	ZHONG_PFC_C3_ASTROCYTE	BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HRN	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HNBML1	GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HSERT
4131	MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION	ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS			GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HRN		MANNO_MIDBRAIN_NEUROTYPES_HNBML1	GOBP_CELL_PROJECTION_ORGANIZATION		MANNO_MIDBRAIN_NEUROTYPES_HSERT
6252	RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS		BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE		MANNO_MIDBRAIN_NEUROTYPES_HRN	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HNBML1		GOBP_HEAD_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HSERT
6092	ROBO2	roundabout guidance receptor 2 [Source:HGNC Symbol;Acc:HGNC:10250]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS				GOBP_NEURON_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HRN	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HNBML1	GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HSERT
91584	PLXNA4	plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS		ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS	ZHONG_PFC_C3_ASTROCYTE		GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	
6326	SCN2A	sodium voltage-gated channel alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:10588]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA		GOCC_NEURON_PROJECTION	ZHONG_PFC_C3_MICROGLIA			BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE							MANNO_MIDBRAIN_NEUROTYPES_HSERT
10409	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA		GOCC_NEURON_PROJECTION			ZHONG_PFC_C3_ASTROCYTE				MANNO_MIDBRAIN_NEUROTYPES_HRN	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HNBML1		GOBP_HEAD_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HSERT
55384	MEG3	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA			ZHONG_PFC_C3_MICROGLIA		ZHONG_PFC_C3_ASTROCYTE	BLALOCK_ALZHEIMERS_DISEASE_DN								MANNO_MIDBRAIN_NEUROTYPES_HSERT
6328	SCN3A	sodium voltage-gated channel alpha subunit 3 [Source:HGNC Symbol;Acc:HGNC:10590]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA					ZHONG_PFC_C3_ASTROCYTE	BLALOCK_ALZHEIMERS_DISEASE_DN			MANNO_MIDBRAIN_NEUROTYPES_HRN		MANNO_MIDBRAIN_NEUROTYPES_HNBML1			MANNO_MIDBRAIN_NEUROTYPES_HSERT
9213	XPR1	xenotropic and polytropic retrovirus receptor 1 [Source:HGNC Symbol;Acc:HGNC:12827]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA					ZHONG_PFC_C3_ASTROCYTE						MANNO_MIDBRAIN_NEUROTYPES_HNBML1			MANNO_MIDBRAIN_NEUROTYPES_HSERT
4826	NNAT	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA						BLALOCK_ALZHEIMERS_DISEASE_DN			MANNO_MIDBRAIN_NEUROTYPES_HRN	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HNBML1		GOBP_HEAD_DEVELOPMENT	
1268	CNR1	cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2		GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION	ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS		BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HRN		MANNO_MIDBRAIN_NEUROTYPES_HNBML1	GOBP_CELL_PROJECTION_ORGANIZATION		
